month,commodity_count,currency_count,bond_count,equity_count,commodity_weight,currency_weight,bond_weight,equity_weight,gold_count
1924-03,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1924-04,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1924-05,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1924-06,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1924-07,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1924-08,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1924-09,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1924-10,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1924-11,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1924-12,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1925-01,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1925-02,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1925-03,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1925-04,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1925-05,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1925-06,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1925-07,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1925-08,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1925-09,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1925-10,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1925-11,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1925-12,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1926-01,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1926-02,4,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
1926-03,4,0,1,1,0.360180590296345,0.0,0.3920214896545124,0.2477979200491425,0
1926-04,4,0,1,1,0.38269670737938394,0.0,0.4194548900638603,0.19784840255675581,0
1926-05,4,0,1,1,0.3842978000343451,0.0,0.4220383450354752,0.19366385493017974,0
1926-06,4,0,1,1,0.38358178112614455,0.0,0.42256761716505853,0.19385060170879695,0
1926-07,4,0,1,1,0.3825724266843414,0.0,0.42493648102078013,0.19249109229487854,0
1926-08,4,0,1,1,0.38044150411635935,0.0,0.42589311451870726,0.19366538136493333,0
1926-09,4,0,1,1,0.38113325884490973,0.0,0.42526868803854995,0.1935980531165403,0
1926-10,4,0,1,1,0.37999335215956803,0.0,0.4258960652614929,0.19411058257893907,0
1926-11,4,0,1,1,0.3822538563807371,0.0,0.42933469696668897,0.188411446652574,0
1926-12,4,0,1,1,0.38214403259686264,0.0,0.42928503720318084,0.18857093019995658,0
1927-01,4,0,1,1,0.3822475521922442,0.0,0.4264871927590022,0.19126525504875355,0
1927-02,4,0,1,1,0.38392952557547644,0.0,0.42377156925776654,0.19229890516675704,0
1927-03,4,0,1,1,0.3853130592717637,0.0,0.42463706950301855,0.19004987122521783,0
1927-04,4,0,1,1,0.40055952828382324,0.0,0.4044754714503745,0.1949650002658022,0
1927-05,4,0,1,1,0.3990132485320649,0.0,0.40767542569094906,0.1933113257769861,0
1927-06,4,0,1,1,0.3620534059371153,0.0,0.44110420465722433,0.19684238940566026,0
1927-07,4,0,1,1,0.32216941667106674,0.0,0.5038086958882091,0.1740218874407242,0
1927-08,4,0,1,1,0.33008863054050425,0.0,0.4968430238998507,0.17306834555964504,0
1927-09,4,0,1,1,0.33055402137334444,0.0,0.5026086092788878,0.1668373693477677,0
1927-10,4,0,1,1,0.33086336412959155,0.0,0.5100848707574118,0.15905176511299673,0
1927-11,4,0,1,1,0.323408343218376,0.0,0.5192745394651976,0.1573171173164264,0
1927-12,4,0,1,1,0.32991286443512785,0.0,0.5109380222239609,0.15914911334091122,0
1928-01,4,0,1,1,0.3268472001552614,0.0,0.5170625734710679,0.1560902263736707,0
1928-02,4,0,1,1,0.364438822105023,0.0,0.4848652863615538,0.15069589153342317,0
1928-03,4,0,1,1,0.3645371234605805,0.0,0.4866361714741095,0.14882670506531004,0
1928-04,4,0,1,1,0.38881232262538096,0.0,0.4710877098880925,0.1400999674865266,0
1928-05,4,0,1,1,0.3894371648577283,0.0,0.4694656374867143,0.14109719765555734,0
1928-06,4,0,1,1,0.40002917909157076,0.0,0.462582259323992,0.1373885615844372,0
1928-07,4,0,1,1,0.40485831611164447,0.0,0.46940925265143496,0.1257324312369206,0
1928-08,4,0,1,1,0.4421080374070906,0.0,0.4210767074796581,0.13681525511325132,0
1928-09,4,0,1,1,0.43842625354191184,0.0,0.42576223232396987,0.13581151413411832,0
1928-10,4,0,1,1,0.4540937590481619,0.0,0.41336560060914085,0.13254064034269716,0
1928-11,4,0,1,1,0.43078959150077406,0.0,0.43030975769073376,0.13890065080849215,0
1928-12,4,0,1,1,0.4092401315022581,0.0,0.45477322013956745,0.13598664835817445,0
1929-01,4,0,1,1,0.4176783751886401,0.0,0.4449256354577892,0.1373959893535707,0
